tconst,primaryTitle,startYear
tt0053728,College Girl,1960
tt0053729,Comanche Station,1960
tt0053732,Conspiracy of Hearts,1960
tt0053735,Crack in the Mirror,1960
tt0053738,Croesus,1960
tt0053739,...And Suddenly It's Murder!,1960
tt0053740,The Concrete Jungle,1960
tt0053743,Csutak és a szürke ló,1961
tt0053745,La cárcel de Cananea,1960
tt0053746,The Lady with the Dog,1960
tt0053747,The Fourteenth Day,1960
tt0053750,The Dark at the Top of the Stairs,1960
tt0053752,The Day They Robbed the Bank of England,1960
tt0053756,Silver Spoon Set,1960
tt0053758,Densô ningen,1960
tt0053762,Desire in the Dust,1960
tt0053764,The Ninth Circle,1960
tt0053765,The Goddess,1960
tt0053766,Dik Trom en het circus,1960
tt0053767,Dil Apna Aur Preet Parai,1960
tt0053769,Trapped by Fear,1960
tt0053770,Brandenburg Division,1960
tt0053772,The Devil's Eye,1960
tt0053773,Do budushchey vesny,1961
tt0053774,"Goodbye, See You Tomorrow",1960
tt0053779,La Dolce Vita,1960
tt0053780,Sweet Deceptions,1960
tt0053781,The Judge,1960
tt0053782,Don Lucio y el hermano Pío,1960
tt0053783,The Devil May Well Laugh,1960
tt0053784,Droga na zachód,1961
tt0053785,Comrade President Center-Forward,1960
tt0053786,El duende y yo,1961
tt0053788,Déjà s'envole la fleur maigre,1960
tt0053791,Ek Phool Char Kaante,1960
tt0053793,Elmer Gantry,1960
tt0053796,The Entertainer,1960
tt0053802,Blood and Roses,1960
tt0053804,Exodus,1960
tt0053807,Fabrik der Offiziere,1960
tt0053808,The Fabulous Fifties,1960
tt0053809,Faces in the Dark,1960
tt0053810,The Facts of Life,1960
tt0053811,Faja lobbi,1960
tt0053813,The Phantom of the Operetta,1960
tt0053816,Die Fastnachtsbeichte,1960
tt0053819,"Love, the Italian Way",1960
tt0053821,Feria en Sevilla,1962
tt0053824,The Party Is Over,1960
tt0053825,Flaming Star,1960
tt0053826,Flemming og Kvik,1960
tt0053829,Flucht nach Berlin,1961
tt0053831,For the Love of Mike,1960
tt0053832,Forelsket i København,1960
tt0053833,Love and the Frenchwoman,1960
tt0053834,Frau Irene Besser,1961
tt0053835,Die Frau am dunklen Fenster,1960
tt0053836,Eine Frau fürs ganze Leben,1960
tt0053838,Freddy und die Melodie der Nacht,1960
tt0053839,A French Mistress,1960
tt0053841,From the Terrace,1960
tt0053842,The River Fuefuki,1960
tt0053845,Furtuna,1960
tt0053846,Fünf Patronenhülsen,1960
tt0053847,Füre lépni szabad,1960
tt0053848,G.I. Blues,1960
tt0053849,The Gallant Hours,1960
tt0053853,The Human Vapor,1960
tt0053855,Crook and the Cross,1960
tt0053860,Geständnis einer Sechzehnjährigen,1961
tt0053864,From a Roman Balcony,1960
tt0053865,Girl of the Night,1960
tt0053867,A Glass of Water,1960
tt0053870,The Hunchback of Rome,1960
tt0053872,Wise Guys,1961
tt0053876,Good-for-Nothing,1960
tt0053877,The Grass Is Greener,1960
tt0053878,The Great Devotion,1960
tt0053879,The Great Impostor,1960
tt0053880,Das große Wunschkonzert,1960
tt0053881,A Bully in 1900,1960
tt0053882,The 3 Worlds of Gulliver,1960
tt0053885,Gustav Adolfs Page,1960
tt0053886,Haat Baraley Bandhu,1960
tt0053889,Hand in Hand,1961
tt0053892,Spring Dreams,1960
tt0053893,Hauptmann - deine Sterne,1960
tt0053898,Heldinnen,1960
tt0053899,Hell Bent for Leather,1960
tt0053900,Hell Is a City,1960
tt0053901,Hell to Eternity,1960
tt0053902,Heller in Pink Tights,1960
tt0053904,The Man in the Black Derby,1960
tt0053910,The High Powered Rifle,1960
tt0053912,High Time,1960
tt0053917,Home from the Hill,1960
tt0053919,Hono-o no shiro,1960
tt0053925,House of Usher,1960
tt0053928,Hum Hindustani,1960
tt0053932,Three Stars,1960
tt0053933,I Passed for White,1960
tt0053934,Prezil jsem svou smrt,1960
tt0053936,Ice Palace,1960
tt0053942,The Impersonator,1961
tt0053946,Inherit the Wind,1960
tt0053947,Inn for Trouble,1960
tt0053948,Die Insel der Amazonen,1960
