tconst,primaryTitle,startYear
tt0065489,Brancaleone at the Crusades,1970
tt0065491,Mark of the Devil,1970
tt0065492,Brewster McCloud,1970
tt0065494,See You at Mao,1970
tt0065495,Brothers Five,1970
tt0065497,Bruno der Schwarze - Es blies ein Jäger wohl in sein Horn,1971
tt0065499,"Have a Good Funeral, My Friend... Sartana Will Pay",1970
tt0065503,The Scandalous Adventures of Buraikan,1970
tt0065509,Sartana's Here... Trade Your Pistol for a Coffin,1970
tt0065514,Cactus in the Snow,1971
tt0065516,La califfa,1970
tt0065518,The Year of the Cannibals,1970
tt0065525,Carry on Up the Jungle,1970
tt0065528,Catch-22,1970
tt0065529,Cerca di capirmi,1970
tt0065531,Le Cercle Rouge,1970
tt0065533,The Seagull,1972
tt0065539,Chanoc en las garras de las fieras,1970
tt0065541,Chesty: A Tribute to a Legend,1976
tt0065542,The Cheyenne Social Club,1970
tt0065543,Chi-zome no daimon,1970
tt0065544,Little Remi and Famous Dog Capi,1970
tt0065547,Chisum,1970
tt0065550,The Unholy Four,1970
tt0065551,"Ciao, Federico!",1970
tt0065554,Le cinéma de papa,1971
tt0065555,Violent City,1970
tt0065560,Cockeyed Cowboys of Calico County,1970
tt0065561,The Mad Heart,1970
tt0065562,Long mu xiang,1970
tt0065563,The Penal Colony,1970
tt0065565,Countdown to Vengeance,1971
tt0065568,The Weekend Murders,1970
tt0065570,El Condor,1970
tt0065571,The Conformist,1970
tt0065573,Let's Have a Riot,1970
tt0065579,Cotton Comes to Harlem,1970
tt0065580,Countess Dracula,1971
tt0065585,Crates,1970
tt0065587,Creedence Clearwater Revival Live in London,1970
tt0065588,Cleopatra,1970
tt0065593,Cromwell,1970
tt0065598,Chronicle of a Lady,1971
tt0065600,"Four Murders Are Enough, Darling",1971
tt0065607,Devilish Honeymoon,1970
tt0065610,Darker Than Amber,1970
tt0065611,Darling Lili,1970
tt0065612,Darpan,1970
tt0065616,A Day at the Beach,1970
tt0065618,Dead of Summer,1970
tt0065620,Deadlock,1970
tt0065622,The Decameron,1971
tt0065626,Play It Cool,1970
tt0065630,El tunco Maclovio,1970
tt0065631,Of Gods and the Undead,1970
tt0065636,Diary of a Mad Housewife,1970
tt0065639,El dinero tiene miedo,1970
tt0065649,Dodes'ka-den,1970
tt0065651,Bed & Board,1970
tt0065653,Don Giovanni,1970
tt0065659,Medical Doctor Sommer the Second,1970
tt0065661,Dear Irena,1970
tt0065662,The Pizza Triangle,1970
tt0065666,Druzba Pere Kvrzice,1970
tt0065670,Twelve Chairs,1971
tt0065671,Uncle Vanya,1970
tt0065672,Dzieciol,1971
tt0065674,Dziura w ziemi,1970
tt0065677,The Forbidden Photos of a Lady Above Suspicion,1970
tt0065686,"Elle boit pas, elle fume pas, elle drague pas, mais... elle cause!",1970
tt0065687,Elvis: That's the Way It Is,1970
tt0065688,Zapata,1970
tt0065692,End of the Road,1970
tt0065698,Angels with Burnt Wings,1970
tt0065700,Entertaining Mr Sloane,1970
tt0065702,Chariots of the Gods,1970
tt0065703,First Love,1970
tt0065704,Españolas en París,1971
tt0065705,"Espérame en Siberia, vida mía",1971
tt0065713,Ezo yakata no ketto,1970
tt0065716,"Fe, esperanza y caridad",1974
tt0065719,Fiebre,1971
tt0065720,Figures in a Landscape,1970
tt0065722,The Firechasers,1971
tt0065724,Five Easy Pieces,1970
tt0065736,The Madman,1970
tt0065737,Fragment of Fear,1970
tt0065742,Fray Dólar,1970
tt0065748,Fuenteovejuna,1972
tt0065753,Fußball wie noch nie,1971
tt0065754,Fútbol México 70,1970
tt0065757,The Games,1970
tt0065761,The Cat o' Nine Tails,1971
tt0065764,Geet,1970
tt0065767,The Militarists,1970
tt0065769,The Troops on Vacation,1970
tt0065770,La generala,1971
tt0065772,Claire's Knee,1970
tt0065773,Geschichten vom Kübelkind,1971
tt0065775,Getting Straight,1970
tt0065777,The Garden of the Finzi-Continis,1970
tt0065780,Gimme Shelter,1970
tt0065782,Sunflower,1970
tt0065787,Godard in America,1970
tt0065788,Goin' Down the Road,1970
tt0065792,"Goya, historia de una soledad",1971
tt0065797,The Great White Hope,1970
tt0065803,The Angry River,1971
tt0065806,A gyilkos a házban van,1971
tt0065807,Gyula vitéz télen-nyáron,1970
tt0065808,Gods of the Plague,1970
tt0065809,"Live Today, Die Tomorrow!",1970
tt0065817,"Hassan, the Bald",1970
tt0065818,Hatholdas rózsakert,1970
tt0065820,The Hawaiians,1970
