tconst,primaryTitle,startYear
tt0042378,Darah dan Doa,1950
tt0042379,Dark City,1950
tt0042380,Dastan,1950
tt0042381,Escape from Prison,1950
tt0042382,The Daughter of Rosie O'Grady,1950
tt0042386,La virgen gitana,1951
tt0042387,Deported,1950
tt0042388,Deseada,1951
tt0042390,Desperadoes of the West,1950
tt0042392,Destination Big House,1950
tt0042393,Destination Moon,1950
tt0042394,Destination Murder,1950
tt0042395,Devil's Doorway,1950
tt0042396,One Day of Life,1950
tt0042397,Dial 1119,1950
tt0042401,Dieu a besoin des hommes,1950
tt0042402,De dijk is dicht,1950
tt0042406,Don Juan,1950
tt0042409,Das doppelte Lottchen,1950
tt0042410,Double Confession,1950
tt0042412,Double Deal,1950
tt0042413,Doña Perfecta,1951
tt0042415,Drei Mädchen spinnen,1950
tt0042416,Third from the Right,1950
tt0042417,Duchess of Idaho,1950
tt0042425,Dynamite Pass,1950
tt0042426,The Eagle and the Hawk,1950
tt0042427,Devotion,1950
tt0042428,Edge of Doom,1950
tt0042429,Edward and Caroline,1951
tt0042432,The Fighting Pimpernel,1950
tt0042434,In the Palm of Your Hand,1951
tt0042436,Les Enfants Terribles,1950
tt0042437,Epilogue,1950
tt0042439,Es kommt ein Tag,1950
tt0042444,Der Fall Rabanser,1950
tt0042447,Fancy Pants,1950
tt0042449,Father Is a Bachelor,1950
tt0042451,Father of the Bride,1950
tt0042455,Fence Riders,1950
tt0042459,"Figaro qua, Figaro là",1950
tt0042461,Filomena Marturano,1950
tt0042464,The Flame and the Arrow,1950
tt0042465,Flesh and Blood,1951
tt0042466,Girl with Hyacinths,1950
tt0042468,The Flying Missile,1950
tt0042472,For Heaven's Sake,1950
tt0042477,The Flowers of St. Francis,1950
tt0042478,The Franchise Affair,1951
tt0042479,Eine Frau mit Herz,1951
tt0042480,Frauenarzt Dr. Prätorius,1950
tt0042482,Frenchie,1950
tt0042483,Frisco Tornado,1950
tt0042484,Frontier Outpost,1950
tt0042486,Frühling auf dem Eis,1951
tt0042488,The Fuller Brush Girl,1950
tt0042490,The Furies,1950
tt0042491,All's Well,1951
tt0042493,The White Hell of Pitz Palu,1950
tt0042494,City in the Fog,1950
tt0042495,Gabriela,1950
tt0042496,Gambling House,1950
tt0042499,El gavilán pollero,1951
tt0042500,Der Geigenmacher von Mittenwald,1950
tt0042505,Ginza Sanshiro,1950
tt0042506,The Girl from San Lorenzo,1950
tt0042507,Girls' School,1950
