tconst,primaryTitle,startYear
tt0080377,Any Which Way You Can,1980
tt0080384,Arrivano i bersaglieri,1980
tt0080387,Asphaltnacht,1980
tt0080388,Atlantic City,1980
tt0080393,Attila flagello di Dio,1982
tt0080401,The Warning,1980
tt0080403,Aziza,1980
tt0080404,Evening Rain,1980
tt0080406,Babylon,1980
tt0080408,Bad Timing,1980
tt0080409,Village in the Jungle,1980
tt0080410,Bai fa mo nu chuan,1980
tt0080411,Ballagás,1981
tt0080412,The Baltimore Bullet,1980
tt0080413,Ban ye,1980
tt0080415,The Lady Banker,1980
tt0080419,Children's Island,1980
tt0080420,Bat Without Wings,1980
tt0080428,The Gang Next Door,1980
tt0080430,Berlin Chamissoplatz,1980
tt0080432,Beyond Reasonable Doubt,1981
tt0080434,Bez milosci,1980
tt0080435,Bhavni Bhavai,1980
tt0080437,The Big Red One,1980
tt0080439,The Taming of the Scoundrel,1980
tt0080442,The Black Marble,1980
tt0080447,The Blood of Hussain,1980
tt0080450,Blow Job,1980
tt0080454,Blue Suede Shoes,1980
tt0080455,The Blues Brothers,1980
tt0080459,Bolshaya-malaya voyna,1980
tt0080461,"Bon Voyage, Charlie Brown (and Don't Come Back!!)",1980
tt0080465,Borderline,1980
tt0080466,Le borgne,1980
tt0080469,Breaking Glass,1980
tt0080472,Bronco Billy,1980
tt0080474,Brubaker,1980
tt0080475,"Bruce, King of Kung Fu",1980
tt0080478,Buitres sobre la ciudad,1981
tt0080480,Burebista,1980
tt0080482,Bye Bye Brazil,1980
tt0080483,Bystree sobstvennoy teni,1980
tt0080484,Bárbara,1980
tt0080487,Caddyshack,1980
tt0080488,Café Express,1980
tt0080494,Mercenaries' Trap,1981
tt0080500,Carny,1980
tt0080504,Il casinista,1980
tt0080509,Celles qu'on n'a pas eues...,1981
tt0080511,Certaines nouvelles,1980
tt0080512,Iron Chain Fighter,1980
tt0080514,Chakra,1981
tt0080516,The Changeling,1980
tt0080518,Charlotte,1981
tt0080520,Cheech and Chong's Next Movie,1980
tt0080525,Children of Babylon,1980
tt0080529,Rendezvous with Death,1980
tt0080531,Christmas Mountain,1981
tt0080535,Certas Palavras com Chico Buarque,1980
tt0080537,Circus maximus,1980
tt0080539,City of Women,1980
tt0080546,The Club,1980
tt0080547,Cma,1980
