tconst,primaryTitle,startYear
tt0099173,Brain Dead,1990
tt0099174,Le brasier,1991
tt0099175,Sedem jednou ranou,1991
tt0099180,Bride of Re-Animator,1990
tt0099181,Bronstein's Children,1991
tt0099198,Byli jsme to my?,1991
tt0099200,C'est la vie,1990
tt0099210,Caluga o Menta,1990
tt0099213,Lagerat,1990
tt0099214,La campagne de Cicéron,1990
tt0099215,Campioana,1990
tt0099218,Captive of the Desert,1990
tt0099226,Las cartas de Alou,1990
tt0099229,Pas de répit pour Mélanie,1990
tt0099234,Caídos del cielo,1990
tt0099236,Chaindance,1991
tt0099239,Le champignon des Carpathes,1990
tt0099240,General's Son,1990
tt0099241,Charuga,1991
tt0099249,Chernov/Chernov,1990
tt0099255,The Children,1990
tt0099265,The Last Princess of Manchuria,1990
tt0099266,My Mother's Castle,1990
tt0099268,I Don't Owe 100 Times,1990
tt0099272,City Hunter: Bay City Wars,1990
tt0099273,City Life,1990
tt0099274,City of the Blind,1991
tt0099275,Across Five Aprils,1990
tt0099291,Come See the Paradise,1990
tt0099292,The Comfort of Strangers,1990
tt0099296,The Conviction,1991
tt0099304,Os Cornos de Cronos,1991
tt0099307,The Thing,1990
tt0099308,Countdown,1990
tt0099310,Coupe de Ville,1990
tt0099316,Crazy People,1990
tt0099326,The Cross of Iberia,1990
tt0099329,Cry-Baby,1990
tt0099331,Cuo zai xin xiu,1990
tt0099334,Cyrano de Bergerac,1990
tt0099336,Céllövölde,1990
tt0099338,Da Jue Zhan I: Liao Shen Zhan Yi,1990
tt0099339,Da Jue Zhan II: Huai Hai Zhan Yi,1991
tt0099340,Da Jue Zhan III: Ping Jin Zhan Yi,1992
tt0099341,Daddy Nostalgia,1990
tt0099343,Dakota Road,1992
tt0099345,Damskiy portnoy,1990
tt0099348,Dances with Wolves,1990
tt0099349,Dancin' Thru the Dark,1990
tt0099350,Wu niu,1990
tt0099352,Snake's Fang,1990
tt0099353,"Dangaio, Part I",1990
tt0099359,Daowen,1990
tt0099365,Darkman,1990
tt0099371,Days of Thunder,1990
tt0099389,December Bride,1991
tt0099398,Delay - raz!,1990
tt0099406,The Disenchanted,1990
tt0099407,Desire,1990
tt0099417,The Devil in America,1990
tt0099422,Dick Tracy,1990
tt0099423,Die Hard 2,1990
tt0099424,Dip huet fung wan,1990
tt0099425,No Way Back,1990
tt0099426,Bullet in the Head,1990
tt0099429,Heart,1990
tt0099431,Dina,1990
tt0099436,La discrète,1990
tt0099437,Disha,1990
tt0099439,Disparen a matar,1990
tt0099446,Dr. Petiot,1990
tt0099449,"Don Juan, My Dear Ghost",1990
tt0099456,Double Crosser,1991
tt0099463,Dream Trap,1990
tt0099467,Drishti,1990
tt0099471,Do wong,1990
tt0099472,DuckTales the Movie: Treasure of the Lost Lamp,1990
tt0099476,Dylan Thomas: Return Journey,1990
tt0099479,Døden på Oslo S,1990
tt0099480,Eating,1990
tt0099487,Edward Scissorhands,1990
tt0099494,Elephant in the Living Room,1990
tt0099511,Erfolg,1991
tt0099514,Erster Verlust,1990
tt0099515,Erwin und Julia,1991
tt0099528,The Exorcist III,1990
tt0099529,El extensionista,1991
tt0099533,Faccia di lepre,1990
tt0099537,Der Fall Ö.,1991
tt0099539,The Fall of the Berlin Wall,1990
tt0099540,Falling Over Backwards,1990
tt0099544,A Woman and Seven Husbands,1990
tt0099547,Farendj,1990
tt0099549,Fatal Encounter,1990
tt0099557,Fear,1990
tt0099558,Operation Condor,1991
tt0099559,Feldberg,1990
tt0099561,Ferien mit Silvester,1992
tt0099566,The Field,1990
tt0099569,La fille des collines,1990
tt0099581,Flashback,1990
tt0099582,Flatliners,1990
tt0099584,Of Flesh and Blood,1990
tt0099593,The Fool,1990
tt0099597,Force of Circumstance,1990
tt0099599,Faux et usage de faux,1990
tt0099607,La fracture du myocarde,1990
tt0099611,Frankenhooker,1990
tt0099615,The Freshman,1990
tt0099620,To Live,1992
tt0099629,Curry and Pepper,1990
tt0099631,Gambrinus,1990
tt0099634,The Garden,1990
tt0099635,Gaspard et Robinson,1990
